image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
126007,9.690869117847929e-11,4.614882692352525e-12,0.9999999996292578,0.999999999738863,9.883856668888766e-05,3.1159922945558485e-05,9.640097436813842e-10,5.726309723283829e-13,2.9667978353392654e-15,4.5853423784724553e-11,4.081678896481334e-14,2.3299278057145234e-15,0.0,0.0,0.0,0.0
130026,3.48112255689446e-10,5.419599189744128e-10,0.9999999972530437,0.9999999669719524,0.0002809582207033931,0.00014421294503425924,3.4644406890883143e-09,1.53069501239741e-12,1.4479212909355766e-14,5.4000873542515405e-09,2.473714325406189e-13,1.372658039750001e-14,0.0,-0.2948500779564553,0.0,-0.13908863045946718
134035,4.460731313990183e-10,1.0390053647287887e-10,0.9999999991183723,0.9999999970634142,0.000510846335145107,5.2935544835601806e-05,4.426067866373149e-09,6.4150992261923675e-12,6.1231979189478514e-15,1.0348210383230514e-09,1.9433903545399686e-13,3.1244864823942168e-15,0.0,-1.0805423253343749,0.0,-0.42748826274139695
14037,1.6543415398375523e-10,1.6628113576356115e-10,0.9999999947385284,0.9999999872494915,1.933301801762739e-05,4.667327491091156e-06,1.6480824461308198e-09,1.8322268388634955e-13,8.092400203881818e-16,1.6570462900338526e-09,9.441876870404506e-15,4.905872183214592e-16,0.0,-0.04152228735240515,0.0,-0.010311651212493
143090,2.3916307078223043e-11,4.6419131477733674e-11,0.9999999996216639,0.999999997202606,1.998353124908242e-05,7.16736647700623e-06,2.3796908403176624e-10,1.21669429740175e-13,7.210850324209552e-16,4.6254337033735233e-10,1.4677382297296856e-14,5.481602820656439e-16,0.0,0.0,0.0,0.0
145086,1.704305052911836e-10,2.948211644819796e-11,0.9999999993913709,0.9999999984692893,0.000177669231376242,5.53728646987716e-05,1.6957225075988874e-09,8.840021816413466e-13,9.040641133154347e-15,2.9365207824346137e-10,3.799739261439238e-14,6.485359852404452e-15,0.0,-0.5690912322566417,0.0,-0.19186329633518484
147091,1.72000018637786e-10,1.014323278004363e-09,0.9999999988335673,0.9999999483473659,0.00014529194941778436,5.0972608086618296e-05,1.7110373944363525e-09,9.97002746773038e-13,6.870398511825788e-15,1.0108036816852207e-08,6.160401556126944e-14,5.8145644230721166e-15,0.0,-0.26214368272096844,0.0,-0.07439358153876674
148026,4.535191240911817e-10,1.6381748991123002e-09,0.9999999984674773,0.9999999330744611,0.0006306462233713314,0.00019631846776799644,4.5047969618623625e-09,4.8566648270196e-12,3.130847423092327e-14,1.6324065518749525e-08,3.512886701556298e-13,2.374194333507478e-14,0.0,-1.3203501511260904,0.0,-0.7912754231809784
148089,4.818552616087867e-10,3.1027842339956434e-09,0.9999999980745102,0.9999997980081621,0.0005582780733597452,0.00019758337509719173,4.787514509338321e-09,4.758364210341242e-12,2.4838067327908585e-14,3.0919492451789797e-08,4.1087942967511747e-13,2.102332767604527e-14,0.0,-0.4270162591599046,0.0,-0.1611248704147621
156065,1.5981060713588296e-10,1.9486140472184497e-10,0.9999999994069287,0.9999999842542929,0.00036487136826667167,0.00025333540076575954,1.5895474386566212e-09,9.569744017848233e-13,2.9842838501757436e-14,1.941110722454452e-09,2.0351070061710565e-13,2.9241757641826815e-14,0.0,-0.28898681142338106,0.0,-0.179977885324426
