image_id,highres_low,highres_med,highres_high,classical_low,classical_med,classical_high,deeplearn_low,deeplearn_med,deeplearn_high
img052,0.9946539048066377,0.004962425092801498,0.00038367009956082575,0.9998593447848503,0.0001282393540736508,1.241586007606733e-05,0.9978953680419963,0.002059495458105622,4.513649889815867e-05
img053,0.9853620654006411,0.013490868483961535,0.0011470661143974626,0.9997670137090015,0.00021300962917911628,1.9976660819509935e-05,0.9980208502099377,0.0019352907608528726,4.385902820947656e-05
img054,0.9794229740837355,0.018110728474439647,0.0024662974408249353,0.999891295297013,9.891986569778431e-05,9.784836288976586e-06,0.9985808422207314,0.0013907783484582582,2.8379429810412844e-05
img055,0.9950418485874838,0.004558246270245181,0.00039990514127114847,0.9994933060991577,0.00046421192409213833,4.2481975750220885e-05,0.9978745431031488,0.0020547660046108815,7.06908912402758e-05
img056,0.9900380908102882,0.00914408800691453,0.0008178211817973593,0.9997434380890051,0.00023416326256504573,2.2398647429767734e-05,0.9977774862582423,0.0021722045011916976,5.030923956619428e-05
img057,0.992553910638476,0.006828372392929838,0.0006177169675942232,0.9997452488450984,0.00023170269733421882,2.304845656743143e-05,0.9973673967220932,0.0025737745758814944,5.882870102523459e-05
img058,0.9895913246922853,0.009704661220181281,0.0007040140865334681,0.9999886870109586,9.089520423339535e-06,2.223467618166147e-06,0.9969210096778895,0.0030275125475895228,5.147777352095035e-05
img059,0.9786570837187105,0.019192324292787107,0.0021505919875023675,0.9997852157575281,0.0001965235400846724,1.8260701387190326e-05,0.9979669771969275,0.001989216955005491,4.3805847067029216e-05
img060,0.9850061670762248,0.013397695158779262,0.0015961377639959896,0.99987722842545,0.00011161092326541899,1.1160650284663096e-05,0.9985444763747044,0.0014304071203104663,2.5116503985110713e-05
img061,0.988283519602997,0.010998748215569763,0.0007177321804332915,0.9998772292521382,0.00011120163574688461,1.156911111491512e-05,0.9981958589511305,0.0017702318946531083,3.390915321637695e-05
img062,0.9821594014279071,0.015757304657959204,0.002083293913133624,0.9994666058188195,0.00048822760158103573,4.5166578599230465e-05,0.9965162954087999,0.0033854006383704513,9.830395182961144e-05
img063,0.971970723442475,0.02284789702975298,0.005181379526771918,0.9996957466261465,0.0002776353409927107,2.661803186082254e-05,0.992658262319296,0.007110334470097958,0.00023140320960596733
img064,0.9939455271971911,0.0055915680931687955,0.00046290470864009933,0.9997128265860613,0.0002619596187061105,2.5213794232626475e-05,0.9988739885680186,0.001087857434245146,3.815399673642505e-05
img065,0.9934346998410901,0.006099680621726675,0.00046561953618328534,0.999831782514448,0.00015291367459397315,1.5303809958084413e-05,0.9993540724524657,0.0006234121025321364,2.251544400214061e-05
img066,0.9778966169423114,0.02100087902668109,0.0011025040300074844,0.9996590336216746,0.00031179254789177093,2.9173829433416396e-05,0.9984251909116897,0.0015285285809417087,4.628050636858557e-05
img067,0.9715847005783029,0.026702036167889798,0.0017132632528074083,0.9994575896900341,0.000496395583524757,4.6014725441244995e-05,0.9935478359287419,0.006257842361264075,0.0001943217089941203
img068,0.9940816749349662,0.00561029744630749,0.00030802761772631676,0.9998671198224846,0.0001198458611400408,1.3034315375528145e-05,0.9976718929260314,0.002279711464420598,4.839560854801454e-05
img069,0.9900229349856979,0.00916363318470609,0.000813431828595992,0.9998765423936652,0.0001121052184902803,1.1352386844591893e-05,0.9986894881712249,0.0012836177949284734,2.6894032846591834e-05
img070,0.9719911401068592,0.02437272974513112,0.003636130147009664,0.9997858883948771,0.00019482583065652477,1.928577346639774e-05,0.9990330093100965,0.0009374553778919583,2.9535311011396884e-05
img071,0.9935937351055188,0.005841814105803927,0.0005644507876772394,0.9999375247547237,5.635061174565751e-05,6.124632530673955e-06,0.9988136106985087,0.0011683696371137394,1.8019663377522776e-05
img072,0.972102400372132,0.024831814934330367,0.003065784692537592,0.9998603070155831,0.00012765780251767044,1.2035180899263628e-05,0.9925738479472512,0.007276842499847526,0.00014930955190126384
img073,0.9634991823521635,0.03363309072388488,0.002867726922951696,0.9997521059887837,0.0002246415236588228,2.325248655742092e-05,0.9970326271194632,0.002914920800126657,5.2452079410153954e-05
img074,0.9843698501171272,0.013966909443418793,0.0016632404384540479,0.9996446618659853,0.00032451944190107465,3.081869111360224e-05,0.9970443001953607,0.0028945047509971347,6.119505264219311e-05
img075,0.9957112755772375,0.003909341358240132,0.0003793830635223898,0.9997773064931571,0.0002032410569302538,1.9452448912690383e-05,0.9986439183948844,0.0013148648896455564,4.121671447004665e-05
img076,0.9814959747660105,0.01758293253568506,0.0009210926973044233,0.9998191832441164,0.00016353586710210667,1.7280887781478317e-05,0.998713828053551,0.0012569144555773489,2.9257489871578148e-05
img077,0.9847769422010769,0.013382261042015597,0.0018407967559074558,0.999893208283443,9.707434370395096e-05,9.71737185309487e-06,0.9995045663482724,0.00048009686393222774,1.5336786795392432e-05
img078,0.9907909116173438,0.008781817038257117,0.00042727134339906104,0.9995658954070974,0.00039637100892933374,3.773358297317455e-05,0.9982170576358286,0.0017305483909763049,5.2393972195116686e-05
img079,0.99179335347954,0.0075155873535984515,0.0006910591658615346,0.9998423551203797,0.00014363312360738455,1.4011755012835416e-05,0.9990355142041758,0.000939374605429163,2.5111189395074995e-05
img080,0.9991426050143163,0.0008300274427624969,2.736754192119832e-05,0.9999499659993955,4.503213801091572e-05,5.0018615935809175e-06,0.9998288562429913,0.000163299343141349,7.844412867406372e-06
img081,0.9955922514375073,0.0040412713177225236,0.00036647724377026437,0.9997455721408313,0.0002311102599220346,2.33175982466109e-05,0.9969601085905015,0.0029466742630921547,9.321714540625446e-05
img082,0.9962922693073407,0.0034224634563667245,0.00028526723529256464,0.9996751298969934,0.00029630031749627644,2.8569784510350614e-05,0.998612591620997,0.0013427257061870896,4.468267181594939e-05
img083,0.9828970289680796,0.015251857510890428,0.0018511135200300166,0.9998375547987002,0.00014822092460582603,1.4224275694083698e-05,0.9981838442898143,0.0017745086159196418,4.164709326610766e-05
img084,0.9931539264060546,0.006230176723721408,0.0006158968692240524,0.999774890458747,0.00020422502542692195,2.0884514826162165e-05,0.9991753887376822,0.0007951150975928861,2.9496163725047703e-05
img085,0.9901664483951363,0.009241990524362635,0.0005915610795011004,0.9998524157313702,0.00013309218288003297,1.4492084749780935e-05,0.9986633882295493,0.0013084915403142662,2.8120229136405476e-05
img086,0.9968233593445537,0.0030576671176527656,0.00011897353679354724,0.9999172482207694,7.502310596685065e-05,7.728672263765002e-06,0.9994008986371715,0.0005841928888738905,1.4908472954633087e-05
img087,0.9900315397075099,0.009454183821207116,0.0005142764702830065,0.9999297132562099,6.345329531863331e-05,6.833447471472298e-06,0.9962709356834507,0.003663007059099436,6.605725644981129e-05
img088,0.964371527943731,0.03200345890979629,0.0036250131454726177,0.9997451108503228,0.0002320279307013641,2.2861217975871917e-05,0.9962268243381186,0.0036980394182784815,7.513624260291411e-05
img089,0.993261880155788,0.006357796928493171,0.0003803229147189262,0.9998373682144064,0.0001480086466738856,1.4623137919901086e-05,0.9993221341512738,0.0006555485349206111,2.2317312805635283e-05
img090,0.9979578550857526,0.0019376452978694006,0.00010449961537796548,0.999956596954707,3.7743579045914984e-05,5.659465247027721e-06,0.9988342990914281,0.0011418568238163132,2.3844083755534688e-05
img091,0.9897391664348008,0.009468682664685577,0.0007921508995137799,0.9999075067890348,8.372788710171314e-05,8.765322863509196e-06,0.9984841276476977,0.0014891183775744316,2.6753973727897026e-05
img092,0.9606622625385839,0.03391746465881127,0.005420272801604878,0.9998161032902991,0.00016803068594800272,1.5866022752863433e-05,0.9944361540224121,0.005464421703360818,9.94242732270053e-05
img093,0.9946934447472254,0.004846011617354039,0.00046054363442058106,0.9997695072701827,0.000210293482211831,2.0199246605523184e-05,0.9977459164493075,0.0021941185970156055,5.996495267690559e-05
img094,0.9907843471301525,0.008282721148921614,0.0009329317199258296,0.9997941165831784,0.00018781046032229036,1.8072955499416136e-05,0.998867246397507,0.0010993413067600906,3.341229473286479e-05
img095,0.9510654496957194,0.0429559942054722,0.005978556097808528,0.999691934603662,0.0002810347680661317,2.703062727181966e-05,0.9940939586394313,0.005822656007296224,8.338535227260284e-05
img096,0.9839674967843997,0.014895964250304145,0.0011365389642961992,0.9998771247728018,0.00011162631188398816,1.1248914314329417e-05,0.9960491731357554,0.0038980492844926094,5.27775787520477e-05
img097,0.9897446998442109,0.00929119360507547,0.000964106549713692,0.9997538208114197,0.00022462330447624762,2.1555883104098863e-05,0.9988126213740363,0.001151953327979444,3.542529698432719e-05
img098,0.9306654610271858,0.06294698621480568,0.006387552757008392,0.9997433567019753,0.0002321112285335884,2.453206849102187e-05,0.9952886188201594,0.004621537741105797,8.984343773475346e-05
img099,0.985301856689508,0.01340137453558341,0.001296768773908602,0.9999689644057402,2.7184078436849415e-05,3.851514822909127e-06,0.9961083776053411,0.003823355312013651,6.826708164528738e-05
img100,0.9830469785884139,0.014798031119220994,0.002154990291365155,0.9998038366964773,0.0001782613962425817,1.79019062800391e-05,0.9952306646902823,0.004651203458223469,0.00011813185049419034
