image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
BurariTessenTorimonocho,8.791169815548841e-12,7.680697516635135e-14,0.9999999999661612,0.9999999999734897,0.00011177066012146905,4.5059569695986446e-06,8.716088492202791e-11,4.7179834755232426e-14,1.453059088288931e-17,7.617439388156745e-13,3.250279126327397e-16,4.363728744423107e-18,0.0,0.0,0.0,0.0
ByebyeC-BOY,3.812837825292074e-12,9.690783506709398e-13,0.9999999999786261,0.9999999998740664,2.514245710357173e-05,4.0883181608593124e-07,3.782843440492509e-11,1.1825532448185445e-14,2.5794048898522013e-18,9.623123236485308e-12,1.2161693876996378e-16,2.8429156377315167e-19,0.0,0.0,0.0,0.0
Count3DeKimeteAgeru,6.017641110564137e-12,2.288922503178174e-12,0.9999999999706575,0.9999999995425426,5.43220133787493e-05,9.541626336938513e-07,5.970258372745482e-11,1.8792068296256124e-14,1.3698736947935595e-17,2.2730105322126624e-11,5.272583654391856e-17,1.6898336747616277e-18,0.0,0.0,0.0,0.0
DollGun,5.469519622716452e-12,3.193608596290839e-12,0.9999999999833433,0.9999999995107867,5.057848466977866e-05,1.7477267660765319e-06,5.42523540868991e-11,2.1185226036809273e-14,7.93834950145301e-18,3.1713217549247825e-11,3.62095754694064e-16,2.3231556039726576e-18,0.0,0.0,0.0,0.0
Donburakokko,2.254422310138293e-12,1.530902333278852e-13,0.9999999999911677,0.9999999999945196,4.95281206263021e-05,3.2999722033757055e-06,2.2338364196976112e-11,1.6565851508141658e-14,1.0834902929445084e-17,1.5196627694276972e-12,1.971102244111522e-16,3.77532193161957e-18,0.0,0.0,0.0,0.0
DualJustice,5.192216237791674e-12,4.175094487057197e-14,0.999999999985456,0.9999999999892801,5.6980438519402255e-05,6.466853584362097e-07,5.149900766606098e-11,2.103887198162624e-14,8.737052733907297e-18,4.1444703071616227e-13,5.271117201013878e-17,1.0728473838372953e-18,0.0,0.0,0.0,0.0
EienNoWith,7.614841251570987e-13,4.332388747576606e-14,0.9999999999664808,0.9999999999905108,3.981289215256014e-06,1.0826705573270837e-07,7.556916314864902e-12,1.6962925292003648e-15,3.9302746054269685e-19,4.302051954444222e-13,8.279614875430037e-18,7.858771256368028e-20,0.0,0.0,0.0,0.0
EvaLady,1.3195377985886377e-11,1.8335758585798406e-09,0.9999999974262862,0.9999998065458224,0.00010493869547121227,2.2427795701679968e-05,1.3084962612962013e-10,6.278354700265908e-14,2.0210159861893616e-16,1.820841224704261e-08,4.685872587354662e-15,1.2691771542716973e-16,-0.18118582269088623,-0.656228595970008,-0.02987084701015763,-0.24715742745427693
EverydayOsakanaChan,4.4115374993153867e-13,1.9418431148994447e-13,0.9999999999946024,0.9999999999338471,7.97186647424806e-06,1.3271769074199067e-07,4.37418754178263e-12,2.2569089886077757e-15,1.0506282573578263e-18,1.9283291143958285e-12,9.451330248577922e-18,1.4928491908032458e-19,0.0,0.0,0.0,0.0
GOODKISSVer2,2.5808619364790033e-12,2.104225751061825e-13,0.9999999999832618,0.999999999969572,1.7736234098810192e-05,1.0529707787728062e-07,2.560324097800165e-11,8.79552907941832e-15,1.614349605119097e-18,2.0895734767561835e-12,1.3073397790224895e-17,1.2422049468867987e-19,0.0,0.0,0.0,0.0
