image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
img011,7.142699998780187e-10,3.693357962041376e-11,0.9999999972513468,0.9999999998109289,0.0026913715003180514,0.000681432498476536,7.070892060415503e-09,3.7924014493296476e-12,4.7088839757167915e-15,3.641713163311186e-10,6.803631189256717e-13,2.7796214479010535e-15,0.0,-26.184904210673384,0.0,-13.32194702017965
img012,2.0753759251781304e-11,4.5459017119961666e-13,0.9999999999229449,0.9999999998754856,0.0006365552883878584,0.00029978238159019245,2.0756755663878268e-10,9.46268845312204e-14,1.7387856103786122e-15,4.520848323173373e-12,7.622856372881005e-15,1.5479651873985624e-15,0.0,-2.4652173683216843,0.0,-1.486019787000432
img013,2.302508045574951e-11,5.5648069958449844e-12,0.9999999997076419,0.9999999994453966,8.404265372743605e-05,1.4527411841471487e-05,2.297856590741617e-10,3.496121153301892e-14,8.292616469394476e-17,5.555910207648091e-11,5.56613165992267e-16,5.829231708680067e-17,0.0,-0.13047707433174816,0.0,-0.12576510656129208
img014,5.423699974724134e-12,5.06907616305848e-12,0.9999999999717866,0.9999999994903422,0.0004144201854622515,0.0002508245485019113,5.381671658032766e-11,1.4691017224389312e-14,8.622593784061114e-16,5.0334807431620974e-11,1.3941910121534316e-15,7.758899931092511e-16,0.0,0.0,0.0,0.0
img015,5.798781397841631e-11,8.733940220084663e-12,0.9999999996592571,0.9999999983952097,0.0005164112365824974,0.0001293755413814469,5.723359809967616e-10,1.344359447371546e-13,1.3700225179818726e-15,8.625337972144225e-11,1.8225982025151087e-15,9.634923872619726e-16,0.0,-2.8228544435267624,0.0,-1.4138792072982511
img016,9.98363418103576e-11,3.2577437563867035e-12,0.999999996565736,0.9999999991327695,0.0002521132786359137,2.2084245927805963e-05,9.91129137680726e-10,1.3257132303240318e-13,3.5203851594390843e-16,3.23501751458041e-11,1.0642806674264258e-15,1.6241665727840423e-16,0.0,-4.195849439575474,0.0,-1.2475269923982673
img017,1.1449294550896353e-11,1.8387317582591653e-12,0.9999999999696675,0.9999999997895025,0.00014726919148956943,3.964022693325661e-05,1.1398377310222298e-10,4.6451486141912755e-14,2.069599085389467e-16,1.83219566448921e-11,1.6948968186034898e-15,1.6583431492853883e-16,0.0,0.0,0.0,0.0
img018,2.2267476371200545e-11,2.601724231708812e-12,0.9999999999017972,0.9999999997979737,0.00017705437834460326,5.6085295115913955e-05,2.2284793357328003e-10,5.768576753953159e-14,2.835617256937593e-16,2.6049659717205755e-11,2.262397608122343e-15,2.410940318905781e-16,0.0,-1.022113671918646,0.0,-0.2854898743328138
img019,1.293897605290191e-10,1.5990245328688185e-11,0.9999999996319229,0.9999999987684347,0.0018525521034776459,0.0004015905873932832,1.2810196519729013e-09,8.112968818563142e-13,5.99340649728378e-15,1.5854297784051857e-10,1.565928132089381e-14,3.953381875388089e-15,0.0,-14.7930483666565,0.0,-7.999670022606422
img020,6.725080177562848e-12,9.049829256603907e-12,0.9999999999883584,0.9999999990846283,0.00039788726093150344,0.00011416047178629691,6.722332168502745e-11,3.679476856358758e-14,1.9321273450833336e-16,9.06029656068993e-11,2.5253842820800184e-15,1.456102290253009e-16,0.0,0.0,0.0,0.0
